Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Coordonnées géographiques;Nom communes équipées;Code INSEE communes équipées
44015;Rouget de L'isle - Watteau;OUI;20;9;11;3;8;OUI;OUI;2024-11-28T17:03:34+01:00;48.778192750803, 2.3963020229163;Vitry-sur-Seine;94081
16107;Benjamin Godard - Victor Hugo;OUI;35;29;6;3;3;OUI;OUI;2024-11-28T17:04:10+01:00;48.865983, 2.275725;Paris;75056
32017;Basilique;OUI;22;7;13;5;8;OUI;OUI;2024-11-28T17:00:53+01:00;48.93626891059109, 2.3588666820200914;Saint-Denis;93066
9020;Toudouze - Clauzel;OUI;21;14;7;1;6;OUI;OUI;2024-11-28T17:02:58+01:00;48.87929591733507, 2.3373600840568547;Paris;75056
11104;Charonne - Robert et Sonia Delaunay;OUI;20;16;4;2;2;OUI;OUI;2024-11-28T17:02:01+01:00;48.855907555969, 2.3925706744194;Paris;75056
14111;Cassini - Denfert-Rochereau;OUI;25;16;4;1;3;OUI;OUI;2024-11-28T17:04:28+01:00;48.837525839067, 2.3360354080796;Paris;75056
7002;Vaneau - Sèvres;OUI;35;5;30;18;12;OUI;OUI;2024-11-28T17:04:35+01:00;48.848563233059, 2.3204218259346;Paris;75056
14014;Jourdan - Stade Charléty;OUI;60;51;8;2;6;OUI;OUI;2024-11-28T17:03:23+01:00;48.819428333369, 2.3433353751898;Paris;75056
33006;André Karman - République;OUI;31;22;8;0;8;OUI;OUI;2024-11-28T17:00:00+01:00;48.91039875761846, 2.3851355910301213;Aubervilliers;93001
8026;Messine - Place Du Pérou;OUI;12;3;9;2;7;OUI;OUI;2024-11-28T17:02:53+01:00;48.875448033960744, 2.315508019010038;Paris;75056
40011;Bas du Mont-Mesly;NON;1;1;0;0;0;NON;NON;2024-08-29T13:13:08+02:00;48.779035118572, 2.4609763908985;Créteil;94028
13007;Le Brun - Gobelins;OUI;48;44;4;2;2;OUI;OUI;2024-11-28T17:04:41+01:00;48.835092787824, 2.3534681351338;Paris;75056
21010;Silly - Galliéni;OUI;25;8;17;15;2;OUI;OUI;2024-11-28T17:00:55+01:00;48.835583838706, 2.2325500845909;Boulogne-Billancourt;92012
6003;Saint-Sulpice;OUI;21;3;18;15;3;OUI;OUI;2024-11-28T17:04:26+01:00;48.85165383178419, 2.3308077827095985;Paris;75056
17041;Guersant - Gouvion-Saint-Cyr;OUI;36;35;1;0;1;OUI;OUI;2024-11-28T17:01:53+01:00;48.88287775178599, 2.287667370814871;Paris;75056
5110;Lacépède - Monge;OUI;23;14;8;0;8;OUI;OUI;2024-11-28T17:00:11+01:00;48.84389286531899, 2.3519663885235786;Paris;75056
11025;Froment - Bréguet;OUI;43;7;31;23;8;OUI;OUI;2024-11-28T17:01:32+01:00;48.8570414504784, 2.37289470306807;Paris;75056
6108;Saint-Romain - Cherche-Midi;OUI;17;9;7;3;4;OUI;OUI;2024-11-28T17:03:38+01:00;48.84708159081946, 2.321374788880348;Paris;75056
15047;Morillons - Dantzig;OUI;52;51;1;0;1;OUI;OUI;2024-11-28T17:01:29+01:00;48.83310149953933, 2.299380004405976;Paris;75056
